"phecode","phecode_string","sex","leaf","phecode_top","category"
"277","Other disorders of metabolism","Both",0,"277","endocrine/metabolic"
"277.4","Disorders of bilirubin excretion","Both",1,"277.4","endocrine/metabolic"
"277.5","Other disorders of lipoid metabolism","Both",0,"277.5","endocrine/metabolic"
"277.6","Other deficiencies of circulating enzymes","Both",1,"277.6","endocrine/metabolic"
"277.7","Dysmetabolic syndrome X","Both",1,"277.7","endocrine/metabolic"
"277.8","Carnitine deficiencies","Both",1,"277","endocrine/metabolic"
"446.3","Hypersensitivity angiitis","Both",1,"446","circulatory system"
"446.6","Polyarteritis nodosa","Both",1,"446","circulatory system"
"278","Overweight, obesity and other hyperalimentation","Both",0,"278","endocrine/metabolic"
"278.1","Obesity","Both",0,"278","endocrine/metabolic"
"279","Disorders involving the immune mechanism","Both",0,"279","endocrine/metabolic"
"280","Iron deficiency anemias","Both",0,"280","hematopoietic"
"281","Other deficiency anemia","Both",0,"281","hematopoietic"
"281.1","Megaloblastic anemia","Both",0,"281","hematopoietic"
"282","Hereditary hemolytic anemias","Both",0,"282","hematopoietic"
"282.5","Sickle cell anemia","Both",1,"282","hematopoietic"
"283","Acquired hemolytic anemias","Both",0,"283","hematopoietic"
"283.1","Autoimmune hemolytic anemias","Both",1,"283","hematopoietic"
"284","Aplastic anemia","Both",0,"284","hematopoietic"
"285","Other anemias","Both",0,"285","hematopoietic"
"286","Coagulation defects","Both",0,"286","hematopoietic"
"286.1","Congenital coagulation defects","Both",0,"286","hematopoietic"
"287","Purpura and other hemorrhagic conditions","Both",0,"287","hematopoietic"
"288.1","Decreased white blood cell count","Both",0,"288.1","hematopoietic"
"288","Diseases of white blood cells","Both",0,"288","hematopoietic"
"289","Other diseases of blood and blood-forming organs","Both",0,"289","hematopoietic"
"290","Delirium dementia and amnestic and other cognitive disorders","Both",0,"290","mental disorders"
"291","Other specified nonpsychotic and/or transient mental disorders","Both",0,"291","mental disorders"
"293","Symptoms involving head and neck","Both",1,"293","mental disorders"
"295","Schizophrenia and other psychotic disorders","Both",0,"295","mental disorders"
"296","Mood disorders","Both",0,"296","mental disorders"
"296.1","Bipolar","Both",1,"296","mental disorders"
"296.2","Depression","Both",0,"296","mental disorders"
"300","Anxiety disorders","Both",0,"300","mental disorders"
"301","Personality disorders","Both",0,"301","mental disorders"
"302","Sexual and gender identity disorders","Both",0,"302","mental disorders"
"306","Other mental disorder","Both",0,"306","mental disorders"
"339","Other headache syndromes","Both",1,"339","neurological"
"312","Conduct disorders","Both",0,"312","mental disorders"
"313","Pervasive developmental disorders","Both",0,"313","mental disorders"
"315","Develomental delays and disorders","Both",0,"315","mental disorders"
"316","Substance addiction and disorders","Both",0,"316","mental disorders"
"317","Alcohol-related disorders","Both",0,"317","mental disorders"
"320","Meningitis","Both",1,"320","neurological"
"323","Encephalitis","Both",0,"323","neurological"
"324","Other CNS infection and poliomyelitis","Both",0,"324","neurological"
"325","Phlebitis and thrombophlebitis of intracranial venous sinuses","Both",1,"325","neurological"
"327","Sleep disorders","Both",0,"327","neurological"
"327.3","Sleep apnea","Both",0,"327.3","neurological"
"331","Other cerebral degenerations","Both",0,"331","neurological"
"332","Parkinson's disease","Both",1,"332","neurological"
"333","Extrapyramidal disease and abnormal movement disorders","Both",0,"333","neurological"
"334","Degenerative disease of the spinal cord","Both",0,"334","neurological"
"335","Multiple sclerosis","Both",1,"335","neurological"
"337","Disorders of the autonomic nervous system","Both",0,"337","neurological"
"340","Migraine","Both",0,"340","neurological"
"341","Other demyelinating diseases of central nervous system","Both",1,"341","neurological"
"342","Hemiplegia","Both",1,"342","neurological"
"343","Infantile cerebral palsy","Both",1,"343","neurological"
"344","Other paralytic syndromes","Both",1,"344","neurological"
"345","Epilepsy, recurrent seizures, convulsions","Both",0,"345","neurological"
"346","Abnormal findings on study of brain and/or nervous system","Both",0,"346","neurological"
"347","Cataplexy and narcolepsy","Both",1,"347","neurological"
"348","Other conditions of brain","Both",0,"348","neurological"
"349","Other and unspecified disorders of the nervous system","Both",1,"349","neurological"
"350","Abnormal movement","Both",0,"350","neurological"
"351","Other peripheral nerve disorders","Both",1,"351","neurological"
"352","Disorders of other cranial nerves","Both",0,"352","neurological"
"353","Nerve root and plexus disorders","Both",0,"353","neurological"
"355","Complex regional/central pain syndrome","Both",1,"355","neurological"
"356","Hereditary and idiopathic peripheral neuropathy","Both",1,"356","neurological"
"357","Inflammatory and toxic neuropathy","Both",1,"357","neurological"
"358","Myoneural disorders","Both",0,"358","neurological"
"359","Muscular dystrophies and other myopathies","Both",0,"359","neurological"
"360","Disorders of the globe","Both",0,"360","sense organs"
"361","Retinal detachments and defects","Both",0,"361","sense organs"
"362","Other retinal disorders","Both",0,"362","sense organs"
"362.2","Degeneration of macula and posterior pole of retina","Both",0,"362","sense organs"
"363","Chorioretinal inflammations, scars, and other disorders of choroid","Both",0,"363","sense organs"
"364","Corneal opacity and other disorders of cornea","Both",0,"364","sense organs"
"365","Glaucoma","Both",0,"365","sense organs"
"366","Cataract","Both",0,"366","sense organs"
"367","Disorders of refraction and accommodation; blindness and low vision","Both",0,"367","sense organs"
"368","Visual disturbances","Both",0,"368","sense organs"
"369","Infection of the eye","Both",0,"369","sense organs"
"370","Keratitis","Both",0,"370","sense organs"
"371","Inflammation of the eye","Both",0,"371","sense organs"
"372","Disorders of conjunctiva","Both",1,"372","sense organs"
"695.4","Lupus (localized and systemic)","Both",0,"695","dermatologic"
"374","Other disorders of eyelids","Both",0,"374","sense organs"
"375","Disorders of lacrimal system","Both",0,"375","sense organs"
"376","Disorders of the orbit","Both",1,"376","sense organs"
"377","Disorders of optic nerve and visual pathways","Both",0,"377","sense organs"
"377.3","Optic neuritis/neuropathy","Both",1,"377","sense organs"
"378","Strabismus and other disorders of binocular eye movements","Both",0,"378","sense organs"
"379","Other disorders of eye","Both",0,"379","sense organs"
"380","Disorders of external ear","Both",1,"380","sense organs"
"381","Otitis media and Eustachian tube disorders","Both",0,"381","sense organs"
"383","Otosclerosis","Both",1,"383","sense organs"
"384","Other disorders of tympanic membrane","Both",0,"384","sense organs"
"385","Other disorders of middle ear and mastoid","Both",0,"385","sense organs"
"386","Vertiginous syndromes and other disorders of vestibular system","Both",0,"386","sense organs"
"386.1","Meniere's disease","Both",1,"386","sense organs"
"386.2","Peripheral or central vertigo","Both",0,"386","sense organs"
"388","Other disorders of ear","Both",1,"388","sense organs"
"389","Hearing loss","Both",0,"389","sense organs"
"394","Rheumatic disease of the heart valves","Both",0,"394","circulatory system"
"401","Hypertension","Both",0,"401","circulatory system"
"411","Ischemic Heart Disease","Both",0,"411","circulatory system"
"415","Pulmonary heart disease","Both",0,"415","circulatory system"
"453","Chronic venous hypertension","Both",1,"453","circulatory system"
"420","Carditis","Both",0,"420","circulatory system"
"425","Cardiomyopathy","Both",0,"425","circulatory system"
"426","Cardiac conduction disorders","Both",0,"426","circulatory system"
"427","Cardiac dysrhythmias","Both",0,"427","circulatory system"
"427.1","Paroxysmal tachycardia, unspecified","Both",0,"427","circulatory system"
"427.2","Atrial fibrillation and flutter","Both",0,"427","circulatory system"
"428","Congestive heart failure; nonhypertensive","Both",0,"428","circulatory system"
"429","Ill-defined descriptions and complications of heart disease","Both",0,"429","circulatory system"
"430","Intracranial hemorrhage","Both",0,"430","circulatory system"
"433","Cerebrovascular disease","Both",0,"433","circulatory system"
"433.2","Occlusion of cerebral arteries","Both",0,"433","circulatory system"
"440","Atherosclerosis","Both",0,"440","circulatory system"
"441","Vascular insufficiency of intestine","Both",0,"441","circulatory system"
"442","Other aneurysm","Both",0,"442","circulatory system"
"443","Peripheral vascular disease","Both",0,"443","circulatory system"
"444","Arterial embolism and thrombosis","Both",0,"444","circulatory system"
"446","Polyarteritis nodosa and allied conditions","Both",0,"446","circulatory system"
"447","Other disorders of arteries and arterioles","Both",0,"447","circulatory system"
"448","Disease of capillaries","Both",1,"448","circulatory system"
"451","Phlebitis and thrombophlebitis","Both",0,"451","circulatory system"
"452","Other venous embolism and thrombosis","Both",0,"452","circulatory system"
"454","Varicose veins","Both",0,"454","circulatory system"
"455","Hemorrhoids","Both",1,"455","circulatory system"
"457","Encounter for long-term (current) use of anticoagulants, antithrombotics, aspirin","Both",0,"457","circulatory system"
"458","Hypotension","Both",0,"458","circulatory system"
"459","Other disorders of circulatory system","Both",0,"459","circulatory system"
"465","Acute upper respiratory infections of multiple or unspecified sites","Both",0,"465","respiratory"
"470","Septal Deviations/Turbinate Hypertrophy","Both",1,"470","respiratory"
"471","Nasal polyps","Both",1,"471","respiratory"
"472","Chronic pharyngitis and nasopharyngitis","Both",1,"472","respiratory"
"473","Diseases of the larynx and vocal cords","Both",0,"473","respiratory"
"474","Acute and chronic tonsillitis","Both",0,"474","respiratory"
"475","Chronic sinusitis","Both",0,"475","respiratory"
"476","Allergic rhinitis","Both",1,"476","respiratory"
"477","Epistaxis or throat hemorrhage","Both",1,"477","respiratory"
"478","Throat pain","Both",1,"478","respiratory"
"480","Pneumonia","Both",0,"480","respiratory"
"481","Influenza","Both",1,"481","respiratory"
"483","Acute bronchitis and bronchiolitis","Both",1,"483","respiratory"
"495","Asthma","Both",0,"495","respiratory"
"496","Chronic airway obstruction","Both",0,"496","respiratory"
"500","Lung disease due to external agents","Both",0,"500","respiratory"
"505","Other pulmonary inflamation or edema","Both",1,"505","respiratory"
"506","Empyema and pneumothorax","Both",1,"506","respiratory"
"507","Pleurisy; pleural effusion","Both",1,"507","respiratory"
"508","Pulmonary collapse; interstitial and compensatory emphysema","Both",1,"508","respiratory"
"510","Other diseases of lung","Both",1,"510","respiratory"
"512","Other symptoms of respiratory system","Both",0,"512","respiratory"
"513","Respiratory abnormalities","Both",0,"513","respiratory"
"514","Abnormal findings examination of lungs","Both",1,"514","respiratory"
"516","Abnormal sputum","Both",0,"516","respiratory"
"519","Other diseases of respiratory system, not elsewhere classified","Both",0,"519","respiratory"
"520","Disorders of tooth development","Both",0,"520","digestive"
"521","Diseases of hard tissues of teeth","Both",0,"521","digestive"
"522","Diseases of pulp and periapical tissues","Both",0,"522","digestive"
"523","Gingival and periodontal diseases","Both",0,"523","digestive"
"524","Dentofacial anomalies, including malocclusion","Both",0,"524","digestive"
"525","Other diseases of the teeth and supporting structures","Both",0,"525","digestive"
"526","Diseases of the jaws","Both",0,"526","digestive"
"527","Diseases of the salivary glands","Both",0,"527","digestive"
"528","Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue","Both",0,"528","digestive"
"649.1","Diabetes or abnormal glucose tolerance complicating pregnancy","Female",1,"649.1","pregnancy complications"
"529","Diseases and other conditions of the tongue","Both",0,"529","digestive"
"530","Diseases of esophagus","Both",0,"530","digestive"
"531","Peptic ulcer (excl. esophageal)","Both",0,"531","digestive"
"535","Gastritis and duodenitis","Both",0,"535","digestive"
"536","Disorders of function of stomach","Both",0,"536","digestive"
"537","Other disorders of stomach and duodenum","Both",0,"537","digestive"
"540","Appendiceal conditions","Both",0,"540","digestive"
"550","Abdominal hernia","Both",0,"550","digestive"
"555","Inflammatory bowel disease and other gastroenteritis and colitis","Both",0,"555","digestive"
"560","Intestinal obstruction without mention of hernia","Both",0,"560","digestive"
"562","Diverticulosis and diverticulitis","Both",0,"562","digestive"
"564","Functional digestive disorders","Both",0,"564","digestive"
"564.1","Irritable Bowel Syndrome","Both",1,"564","digestive"
"565","Anal and rectal conditions","Both",0,"565","digestive"
"567","Peritonitis and retroperitoneal infections","Both",1,"567","digestive"
"568","Other disorders of peritoneum","Both",0,"568","digestive"
"569","Other disorders of intestine","Both",0,"569","digestive"
"571","Chronic liver disease and cirrhosis","Both",0,"571","digestive"
"572","Ascites (non malignant)","Both",1,"572","digestive"
"571.81","Portal hypertension","Both",1,"571","digestive"
"573","Other disorders of liver","Both",0,"573","digestive"
"574","Cholelithiasis and cholecystitis","Both",0,"574","digestive"
"575","Other biliary tract disease","Both",0,"575","digestive"
"577","Diseases of pancreas","Both",0,"577","digestive"
"578","Gastrointestinal hemorrhage","Both",0,"578","digestive"
"579","Other symptoms involving abdomen and pelvis","Both",0,"579","digestive"
"580","Nephritis; nephrosis; renal sclerosis","Both",0,"580","genitourinary"
"585","Renal failure","Both",0,"585","genitourinary"
"586","Other disorders of the kidney and ureters","Both",0,"586","genitourinary"
"587","Kidney replaced by transpant","Both",1,"587","genitourinary"
"588","Disorders resulting from impaired renal function","Both",0,"588","genitourinary"
"589","Abnormal results of function study of kidney","Both",1,"589","genitourinary"
"590","Pyelonephritis","Both",1,"590","genitourinary"
"591","Urinary tract infection","Both",1,"591","genitourinary"
"592","Cystitis and urethritis","Both",0,"592","genitourinary"
"593","Hematuria","Both",0,"593","genitourinary"
"595","Hydronephrosis","Both",1,"595","genitourinary"
"596","Other disorders of bladder","Both",0,"596","genitourinary"
"597","Other disorders of urethra and urinary tract","Both",0,"597","genitourinary"
"598","Abnormal findings on examination of urine","Both",0,"598","genitourinary"
"599","Other symptoms/disorders or the urinary system","Both",0,"599","genitourinary"
"600","Hyperplasia of prostate","Male",1,"600","genitourinary"
"601","Inflammatory diseases of prostate","Male",0,"601","genitourinary"
"602","Other disorders of prostate","Male",0,"602","genitourinary"
"603","Other disorders of testis","Male",0,"603","genitourinary"
"604","Disorders of penis","Male",0,"604","genitourinary"
"605","Erectile dysfunction [ED]","Male",1,"605","genitourinary"
"608","Other disorders of male genital organs","Male",1,"608","genitourinary"
"610","Benign mammary dysplasias","Female",0,"610","genitourinary"
"614","Inflammatory diseases of female pelvic organs","Female",0,"614","genitourinary"
"615","Endometriosis","Female",1,"615","genitourinary"
"618.1","Prolapse of vaginal walls","Female",1,"618","genitourinary"
"617","Disorders secondary to childbirth, surgery, trauma","Female",0,"617","genitourinary"
"618","Genital prolapse","Female",0,"618","genitourinary"
"619","Noninflammatory female genital disorders","Female",0,"619","genitourinary"
"620","Dysplasia of female genital organs","Female",0,"620","genitourinary"
"621","Endometrial hyperplasia","Female",1,"621","genitourinary"
"622","Polyp of female genital organs","Female",0,"622","genitourinary"
"623","Hypertrophy of female genital organs","Female",1,"623","genitourinary"
"624","Symptoms involving female genital tract","Female",0,"624","genitourinary"
"625","Pain and other symptoms associated with female genital organs","Female",0,"625","genitourinary"
"626","Disorders of menstruation and other abnormal bleeding from female genital tract","Female",0,"626","genitourinary"
"627","Menopausal and postmenopausal disorders","Female",0,"627","genitourinary"
"628","Ovarian cyst","Female",1,"628","genitourinary"
"634","Miscarriage; stillbirth","Female",0,"634","pregnancy complications"
"635","Hemorrhage during pregnancy; childbirth and postpartum","Female",0,"635","pregnancy complications"
"636","Early or threatened labor; hemorrhage in early pregnancy","Female",0,"636","pregnancy complications"
"637","Short gestation; low birth weight; and fetal growth retardation","Both",1,"637","pregnancy complications"
"638","Other high-risk pregnancy","Female",0,"638","pregnancy complications"
"639","Complications following abortion or ectopic and molar pregnancies","Female",0,"639","pregnancy complications"
"642","Hypertension complicating pregnancy, childbirth, and the puerperium","Female",0,"642","pregnancy complications"
"643","Excessive vomiting in pregnancy","Female",0,"643","pregnancy complications"
"644","Anemia during pregnancy","Female",1,"644","pregnancy complications"
"645","Late pregnancy and failed induction","Female",0,"645","pregnancy complications"
"646","Other complications of pregnancy NEC","Female",1,"646","pregnancy complications"
"647","Infectious and parasitic complications affecting pregnancy","Female",1,"647","pregnancy complications"
"649","Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium","Female",1,"649","pregnancy complications"
"650","Normal delivery","Female",0,"650","pregnancy complications"
"651","Multiple gestation","Female",0,"651","pregnancy complications"
"652","Malposition and malpresentation of fetus or obstruction","Female",0,"652","pregnancy complications"
"654","Other and unspecified complications of birth; puerperium affecting management of mother","Female",1,"654","pregnancy complications"
"655","Known or suspected fetal abnormality affecting management of mother","Female",0,"655","pregnancy complications"
"656","Other perinatal conditions of fetus or newborn","Both",0,"656","pregnancy complications"
"653","Problems associated with amniotic cavity and membranes","Female",1,"653","pregnancy complications"
"394.3","Aortic valve disease","Both",1,"394","circulatory system"
"446.4","Wegener's granulomatosis","Both",1,"446","circulatory system"
"661","Fetal distress and abnormal forces of labor","Female",0,"661","pregnancy complications"
"663","Umbilical cord complications during labor and delivery","Female",0,"663","pregnancy complications"
"665","Obstetrical/birth trauma","Female",0,"665","pregnancy complications"
"668","Complications of the administration of anesthetic or other sedation in labor and delivery","Female",0,"668","pregnancy complications"
"669","Complications of labor and delivery NEC","Female",1,"669","pregnancy complications"
"671","Venous/cerebrovascular complications embolism in pregnancy and the puerperium","Female",1,"671","pregnancy complications"
"674","Other complications of the puerperium NEC","Female",1,"674","pregnancy complications"
"676","Other disorders of the breast associated with childbirth and disorders of lactation","Female",1,"676","pregnancy complications"
"679","Complications of in utero procedures","Female",0,"679","pregnancy complications"
"681","Superficial cellulitis and abscess","Both",0,"681","dermatologic"
"686","Other local infections of skin and subcutaneous tissue","Both",1,"686","dermatologic"
"690","Erythematosquamous dermatosis","Both",0,"690","dermatologic"
"694","Dyschromia and Vitiligo","Both",0,"694","dermatologic"
"695","Erythematous conditions","Both",0,"695","dermatologic"
"696","Psoriasis and related disorders","Both",0,"696","dermatologic"
"698","Pruritus and related conditions","Both",1,"698","dermatologic"
"700","Corns and callosities","Both",1,"700","dermatologic"
"701","Other hypertrophic and atrophic conditions of skin","Both",0,"701","dermatologic"
"702","Degenerative skin conditions and other dermatoses","Both",0,"702","dermatologic"
"703","Diseases of nail, NOS","Both",1,"703","dermatologic"
"704","Diseases of hair and hair follicles","Both",0,"704","dermatologic"
"705","Disorders of sweat glands","Both",0,"705","dermatologic"
"706","Diseases of sebaceous glands","Both",0,"706","dermatologic"
"707","Chronic ulcer of skin","Both",0,"707","dermatologic"
"709","Diffuse diseases of connective tissue","Both",0,"709","dermatologic"
"710","Osteomyelitis, periostitis, and other infections involving bone","Both",0,"710","musculoskeletal"
"711","Arthropathy associated with infections","Both",0,"711","musculoskeletal"
"712","Infective connective tissue disorders","Both",1,"712","musculoskeletal"
"713","Arthropathy associated with other disorders classified elsewhere","Both",0,"713","musculoskeletal"
"714","Rheumatoid arthritis and other inflammatory polyarthropathies","Both",0,"714","musculoskeletal"
"715","Other inflammatory spondylopathies","Both",0,"715","musculoskeletal"
"716","Other arthropathies","Both",0,"716","musculoskeletal"
"717","Polymyalgia Rheumatica","Both",1,"717","musculoskeletal"
"720","Spinal stenosis","Both",0,"720","musculoskeletal"
"721","Spondylosis and allied disorders","Both",0,"721","musculoskeletal"
"722","Intervertebral disc disorders","Both",0,"722","musculoskeletal"
"723","Other disorders of cervical region","Both",0,"723","musculoskeletal"
"724","Other and unspecified disorders of back","Both",0,"724","musculoskeletal"
"726","Peripheral enthesopathies and allied syndromes","Both",0,"726","musculoskeletal"
"727","Other disorders of synovium, tendon, and bursa","Both",0,"727","musculoskeletal"
"728","Disorders of muscle, ligament, and fascia","Both",1,"728","musculoskeletal"
"729","Other disorders of soft tissues","Both",0,"729","musculoskeletal"
"721.1","Spondylosis without myelopathy","Both",1,"721","musculoskeletal"
"731","Osteitis deformans and osteopathies associated with other disorders classified elsewhere","Both",0,"731","musculoskeletal"
"732","Osteochondropathies","Both",0,"732","musculoskeletal"
"733","Other disorders of bone and cartilage","Both",0,"733","musculoskeletal"
"735","Acquired foot deformities","Both",0,"735","musculoskeletal"
"736","Other acquired deformities of limbs","Both",0,"736","musculoskeletal"
"737","Curvature of spine","Both",0,"737","musculoskeletal"
"738","Other acquired musculoskeletal deformity","Both",0,"738","musculoskeletal"
"739","Contracture of joint","Both",1,"739","musculoskeletal"
"740","Osteoarthrosis","Both",0,"740","musculoskeletal"
"741","Symptoms and disorders of the joints","Both",0,"741","musculoskeletal"
"742","Derangement of joint, non-traumatic","Both",0,"742","musculoskeletal"
"743","Osteoporosis, osteopenia and pathological fracture","Both",0,"743","musculoskeletal"
"745","Pain in joint","Both",1,"745","musculoskeletal"
"741.5","Hemarthrosis","Both",1,"741","musculoskeletal"
"747","Cardiac and circulatory congenital anomalies","Both",0,"747","congenital anomalies"
"748","Anomalies of respiratory system, congenital","Both",1,"748","congenital anomalies"
"749","Congenital anomalies of face and neck","Both",0,"749","congenital anomalies"
"750","Digestive congenital anomalies","Both",0,"750","congenital anomalies"
"751","Genitourinary congenital anomalies","Both",0,"751","congenital anomalies"
"752","Nervous system congenital anomalies","Both",0,"752","congenital anomalies"
"753","Congenital anomalies of the eye","Both",0,"753","congenital anomalies"
"754","Congenital musculoskeletal deformities of spine","Both",0,"754","congenital anomalies"
"755","Congenital anomalies of limbs","Both",0,"755","congenital anomalies"
